"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,
Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
10/02/2019,"Mrs. Stratton’s, Star, Ballard’s Farm, Laura Lynn, more",Chicken and tuna salad products,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Mrs. Stratton’s
10/01/2019,"SuperMom’s, Hometown Kitchen",Chicken Salad Sandwiches,"Food & Beverages,",Potential contamination with Listeria monocytogenes,Northern Tier Bakery LLC
09/30/2019,Consider Bardwell Farms,"Dorset, Slyboboro and Experience Cheeses","Food & Beverages,",Listeria monocytogenes,Consider Bardwell Farms
09/30/2019,"Cellect®, Essentials Factor®",Multi Mineral & Vitamin Supplement Unflavored Powder Mix,"Food & Beverages,",Unsafe levels of Arsenic and Lead,Cellect Products Inc. and Oglethorpe Ltd.
09/30/2019,Whole Foods Market,Dorset cheese,"Food & Beverages,",Potential contamination of Listeria monocytogenes,Whole Foods Market
09/26/2019,RONG SHING NY Trading Inc.,GANCHI NAIWEITANGPIAN candy,"Food & Beverages,",Undeclared milk,RONG SHING NY Trading Inc.
09/20/2019,Roland,Red Lumpfish Caviar and Black Lumpfish Caviar,"Food & Beverages,",Potential to be contaminated with Clostridium botulinum,"Roland Foods, LLC"
09/16/2019,Gold Medal,Unbleached All Purpose Flour,"Food & Beverages,",E. coli O26,General Mills
09/06/2019,Udi's,Classic Hamburger Buns,"Food & Beverages,",Foreign Object White Plastic,Conagra Brands
08/30/2019,Hiland,Lemonade,"Food & Beverages,",Undeclared Milk,Hiland Dairy
08/23/2019,QQ Fish,"Tofu style fried fish cake, Mushroom Fish ball","Food & Beverages,",Undeclared egg,Great One Trading Inc.
08/23/2019,Tainy Vostoka,Assorted dry fruits-Quince,"Food & Beverages,",Undeclared sulfites,Krasnyi Oktyabr USA Inc
08/23/2019,Tainy Vostoka,Assorted dry fruits-apple,"Food & Beverages,",Undeclared sulfites,Krasnyi Oktyabr USA Inc
08/21/2019,AWERS,Grained Salmon Caviar,"Food & Beverages,",Potential Clostridium botulinum contamination,"AWERS, Inc."
08/15/2019,AWERS,Grained Salmon Caviar,"Food & Beverages,",Potential Clostridium Botulinum Contamination,"AWERS, Inc."
08/02/2019,PreGel,"Lemon 50, powdered flavoring","Food & Beverages,",Undeclared Milk,"PreGel America, Inc."
08/01/2019,Door County Whitefish,Smoked Whitefish Pate,"Food & Beverages,","Undeclared Egg, Soy, and Anchovies",Ruleau Brothers Inc.
08/01/2019,Entenmann’s,Soft Baked Chocolate Chip Cookies,"Food & Beverages,","Due to the potential presence of visible, blue plastic pieces","Bimbo Bakeries USA, Inc."
07/26/2019,The Cookie Dough Cafe,Chocolate Chip Cookie Dough Bars,"Food & Beverages,",Undeclared peanuts,Juju Bakes LLC dba The Cookie Dough Cafe
07/25/2019,"Great Value, HEB",Taco Seasoning Products,"Food & Beverages,",Due to possible presence of Salmonella contamination,Williams Foods LLC
07/24/2019,Tainy Vostoka,Tainy Vostoka Assorted Dry Fruits-Apple,"Food & Beverages,",Sulfites,Euphoria Fancy Food Inc
07/24/2019,"Bucee's, Fresh Thyme and more",Hummus and Dips,"Food & Beverages,",Due to possible contamination with Listeria monocytogenes,"Pita Pal Foods, LP"
07/15/2019,Due to Potential Contamination of Listeria monocytogenes,Fresh vegetable products,"Food & Beverages,",Due to Potential Contamination of Listeria monocytogenes,Growers Express
06/21/2019,"Lactaid, Kraft, and more",Various Perishable items,"Food & Beverages,",Products were not held at appropriate temperature during transportation due to mechanical malfunction.,"C&S Wholesale Grocers, Inc"
06/21/2019,Penafiel,Unflavored  Mineral Spring Water,"Food & Beverages,",Presence of Arsenic,Keurig Dr. Pepper
06/20/2019,Great Value and Tipton Grove,Frozen Blackberries and Frozen Mixed Berries,"Food & Beverages,",Norovirus,Alma Pak
06/19/2019,Woodstock,Organic Grilled Red Peppers,"Food & Beverages,",Potential for Listeria monocytogenes,UNFI
06/18/2019,Signature Select,Avocado Chunks,"Food & Beverages,",Listeria monocytogenes,Nature’s Touch Frozen Foods West Inc.
06/11/2019,Kirkland Signature,Three Berry Blend,"Food & Beverages,",Hepatitis A,"Townsend Farms, Inc."
06/10/2019,Karawan & SoCo,Tahini,"Food & Beverages,",Salmonella,Brodt Zenatti Holding LLC
05/28/2019,Baker’s Corner,All Purpose Flour,"Food & Beverages,",Potential presence of E.coli,ADM Milling Co.
05/23/2019,Bakers Corner,Flour,"Food & Beverages,",E. coli,ALDI
05/23/2019,Bakers Corner,Flour,"Food & Beverages,",E. coli,ADM Milling Co.
05/22/2019,purely elizabeth,Granola,"Food & Beverages,",Potential presence of foreign material,purely elizabeth
05/22/2019,Bakers Corner,Flour,"Food & Beverages,",E.coli,ALDI
04/03/2019,Hunt’s,Canned Tomato Paste No Salt Added,"Food & Beverages,",Potential for mold,"Conagra Brands, Inc."
02/27/2019,Joy,Joy Brand Chutneys and Pastes,"Food & Beverages,",Allergy Alert on Undeclared Sulfites,Joy Gourmet Foods Inc
12/11/2018,Moonstruck,Praline Pecan & Ginger Element Bar in Dark Chocolate,"Food & Beverages,",Undeclared milk,Moonstruck Chocolate Co.
10/30/2018,Fit & Active,Southwest Veggie Stuffed Sandwiches,"Food & Beverages,",Possible contamination with Salmonella and Listeria monocytogenes,J&J Snack Foods Handheld Corp.
04/16/2018,Euphoric,Marketed as dietary supplement- capsules,"Food & Beverages,",Unapproved Ingredient,"Epic Products, LLC"
02/08/2018,California Aloha Mix,California Aloha Mix,"Food & Beverages,","Undeclared tree nuts (Almonds, Walnuts and Cashews)",Grand BK Corp.
03/17/2020,"Corrado, Orlando Imports, Nouri’s, more",Curry powder,"Food & Beverages, Advertising, Spices, Flavors &  Salts",Due to Elevated Lead,Office of Regulatory Affairs
07/17/2020,Whole Foods,Spinach Artichoke Dip,"Food & Beverages, Allergens",Undeclared Egg,"Winter Gardens Quality Foods, Inc."
06/22/2020,Gordon Choice,Imitation Crab Supreme Style,"Food & Beverages, Allergens",May contain undeclared egg white,Trident Seafoods
06/19/2020,Fresh Express,Southwest Chopped Kit,"Food & Beverages, Allergens","Undeclared wheat, soy, cashews and coconut",Fresh Express
05/04/2020,OPTAVIA,Essential Old Fashioned Maple & Brown Sugar Oatmeal,"Food & Beverages, Allergens",Undeclared Milk,"Medifast, Inc."
04/29/2020,Condies Foods,Chicken salad sandwiches,"Food & Beverages, Allergens",Undeclared soy,Condies Foods
03/24/2020,Huangfushanzen Huang Mountain Tea Mushroom,Dried Mushrooms,"Food & Beverages, Allergens",Undeclared Sulfites,Tiffany Food Corporation
03/20/2020,Lindt,85% Cocoa chocolate bars,"Food & Beverages, Allergens",Undeclared milk and soy,Lindt & Sprüngli
03/16/2020,Wegmans,Ginger Salmon Oven Safe Meal and Salmon Teriyaki Oven Safe Meal,"Food & Beverages, Allergens",Undeclared wheat,"Raw Seafoods, Inc"
03/11/2020,Moonstruck,Sea Salt Caramels Tumbled In Milk Chocolate,"Food & Beverages, Allergens",Undeclared hazelnuts,Moonstruck Chocolate Company
03/10/2020,Greens & Grains,Hummus and Quinoa Tabouleh Wrap,"Food & Beverages, Allergens",Undeclared Soy,Atherstone Foods Inc.
12/20/2019,365 Everyday Value,Dark Chocolate Peppermint Sandwich Cremes & Dark Chocolate Caramel Sea Salt Sandwich Cremes,"Food & Beverages, Allergens",Undeclared milk and coconut,Whole Foods Market
10/28/2019,Golden Dragon Inc.,Chinese Almond Cookies,"Food & Beverages, Allergens",May contain undeclared milk,Golden Dragon Fortune Cookies Inc.
02/09/2018,ageLOC TR90,Protein boost,"Food & Beverages, Allergens",Undeclared milk,"NSE Products, Inc."
01/19/2018,Palmer Bakery Delights,Sea Salt Caramel Hearts,"Food & Beverages, Allergens",Undeclared peanut,Palmer Candy Company
02/07/2018,Gerber,Cheese Ravioli Pasta Pick-Ups,"Food & Beverages, Allergens, Baby Food Product, Food & Beverage Safety",egg allergen is missing from the 'Contains' statement,Gerber Products Company
08/20/2020,Whole Foods Market,"8-20-2020, Whole Foods Market","Food & Beverages, Allergens, Bakery Product/Mix",Undeclared Soy,Whole Foods Market
03/16/2020,WEGMANS,"Placek Coffee Cake, 11 oz. and 22 oz., and Pumpkin Loaf, 11 oz.","Food & Beverages, Allergens, Bakery Product/Mix",Undeclared milk,"Wegmans Food Markets, Inc."
03/12/2020,Tres Hermanos Bakery,Bread,"Food & Beverages, Allergens, Bakery Product/Mix",Undeclared milk,Tres Hermanos Bakery
03/30/2020,Melanie,Mini Cookies with Caramel Flavor,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergens: Peanuts,Melanie Wholesale Inc.
03/27/2020,SDQ Trading,Cheese biscuits,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared milk,SDQ Trading Inc.
03/24/2020,Whole Foods Market,Oatmeal Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Soybean,Whole Foods Market
03/24/2020,"Seattle Sourdough Baking Company, Franz","Seattle Sourdough Pub Buns, Franz Premium Pub Buns","Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",May contain undeclared soy,Portland French Bakery
03/20/2020,Marsee Baking,Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Peanuts,Marsee Foods Inc. dba Marsee Baking
05/24/2018,New Seasons,"mini butter croissants, mini chocolate croissants","Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Egg,New Seasons Market LLC
02/09/2018,"King's Pastry, Bakewell desserts","Various cakes: tuxedo bar, chocolate bar, cappuccino","Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared tree nuts (hazelnut),King's Pastry
02/09/2018,Sunshine Bakery,"Cassava cake, mixed nut mooncake","Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety","Mislabeling of Food Allergens PEANUT, COCONUT, ALMOND, AND CASHEW",Sunshine Bakery
02/09/2018,Bakery Fresh Goodness,Carrot Cupcakes,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared soy and milk,Fred Meyer Stores
02/08/2018,Whole Foods Market,Croissants,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared egg,Bakers of Paris
02/08/2018,Trader Joe’s,Bread,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared milk,Athens Baking Company
02/08/2018,"Lonestar Bakeries, Whole Foods Market",Cake,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Pecans,Whole Foods Market
02/08/2018,Schnucks Bakery,Cake,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared pecans,Schnucks Bakery
02/08/2018,"Coborn’s, Cash Wise",Bread,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety","Undeclared Milk, Soy, and/or Eggs","Coborn's, Inc."
02/08/2018,The Bakery,Peanut Butter Chocolate Chunk  Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Milk,Jimmy’s Cookies LLC
02/08/2018,Whole Foods Market,Oatmeal Chocolate Chips Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Walnut,Whole Foods Market
02/08/2018,Bakehouse,Cranberry Orange Bread,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Pecans and Tree Nuts,Fry’s Food Stores
02/08/2018,Whole Foods Market,Banana Chocolate Chip Muffins,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Walnuts,Whole Foods Market
02/08/2018,Anarkali,Naan (bread),"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared milk,Raja Foods
02/08/2018,liveGfree,Gluten Free Classic Soft White Hamburger Buns,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg,Vibrant Health Products
02/07/2018,N/A,Decorated (iced) cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg Allergen,Whole Foods Market
02/07/2018,Kroger,Dessert cups,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Allergen: Milk,Kroger
10/14/2017,Whole Foods Market,Apple Cinnamon Hand Pies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg,Whole Foods Market
02/22/2017,Kusher,Cookies,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety",Undeclared Egg and Milk in Cookies,Kusher
02/08/2018,Schnucks Bakery,Cinnamon Pudding Half Cakes and Cake Slices,"Food & Beverages, Allergens, Bakery Product/Mix, Food & Beverage Safety, Nuts & Nut Products",Undeclared Walnuts,Schnucks Bakery
03/17/2020,Stewart’s Shops,Cranberry Apple Refresher drink,"Food & Beverages, Allergens, Beverage Bases/Conc/Nectar",Undeclared milk,Stewart’s Shops Corp.
03/11/2020,Fine Land Corp.,Meiqili Durian Candy,"Food & Beverages, Allergens, Candy/Gum (without chocolate)",Undeclared Milk,Fine Land Corp.
03/17/2020,Sugar Melon Candy/Wax Gourd,Sugar Melon Candy/Wax Gourd,"Food & Beverages, Allergens, Candy/Gum (without chocolate), Food & Beverage Safety",Undeclared Sulfites,SLR Food Distribution Inc.
03/17/2020,New Seasons,Hot & Sour Broth,"Food & Beverages, Allergens, Canned Foods, Soup",Undeclared Soy,New Seasons Market
03/17/2020,Mini Roll,Mini roll food treat,"Food & Beverages, Allergens, Cereal/Breakfast Food, Food & Beverage Safety",Undeclared egg,Apollo Food International Inc.
10/19/2017,Wegmans,Honey Roast Nut Crunch,"Food & Beverages, Allergens, Cereal/Breakfast Food, Food & Beverage Safety",Undeclared almonds,First Source
10/10/2017,Cascadian Farm,Organic Cinnamon Raisin Granola,"Food & Beverages, Allergens, Cereal/Breakfast Food, Food & Beverage Safety",Undeclared Almonds,General Mills
10/06/2017,Whole Foods Market 365,Organic Raisin Bran,"Food & Beverages, Allergens, Cereal/Breakfast Food, Food & Beverage Safety",Undeclared Peanuts,Whole Food Markets
02/09/2018,Seven Sundays,Vanilla Cherry Pecan Muesli,"Food & Beverages, Allergens, Cereal/Breakfast Food, Food & Beverage Safety, Nuts & Nut Products",may contain undeclared almonds,"Seven Sundays, LLC"
10/18/2017,American Accent,Shredded Imitation Mozzarella Cheese,"Food & Beverages, Allergens, Cheese/Cheese Product, Food & Beverage Safety",Undeclared milk,Great Lakes Cheese Co. Inc.
03/16/2020,Chukar Cherries,Ultra Dark Chocolate Cherries,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared Milk,Chukar Cherries
03/16/2020,Chukar Cherries,Ultra Dark Chocolate products,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared milk,Chukar Cherries
03/12/2020,Chukar Cherries,Amaretto Rainier Chocolate Cherries,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared milk,Chukar Cherries
02/13/2020,Butlers,Irish Whiskey Dark Chocolate Bar,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared milk,Gourmet International and Butlers Chocolates UC
03/28/2019,Theo,Sea Salt 70% Dark Chocolate bars,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared milk,Theo Chocolate
03/27/2020,Divvies,Benjamint Chocolate Bars,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,"Divvies, LLC"
03/27/2020,Sanders Candy,Fudge Bites,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared almonds,Sanders Candy
02/09/2018,Dolcetta,Chocolate Candy,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk and Soy,Dolcetta Artisan Sweets
02/09/2018,ShopRite,Chocolate Chips,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,Wakefern Food Corp.
02/08/2018,WEGMANS,Milk Chocolate Big Ear Bunny Sucker,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Peanuts,Landies Candies Co Inc.
02/08/2018,Hummingbird,Organic Cocoa-Dusted Chocolate Ginger,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Hazelnut,Hummingbird Wholesale
02/08/2018,Ben & Jerry’s,Ice Cream,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Allergen: Peanuts,Unilever
02/08/2018,Chip’n Dipped,Dark Chocolate Bars,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk,Chip’n Dipped
02/08/2018,Private Selection,Pie,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",almonds and eggs were not listed in the ingredient statement,Legendary Baking
02/07/2018,Chip’n Dipped,Dark chocolate crunch bar,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,Chip’n Dipped
02/06/2018,Ditos,Fruit trays,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk and Soy,Ditos
12/29/2017,"Blue Marble, Roundy's Select, and HyVee",Dark Chocolate Products,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Allergen: Milk,GKI Foods LLC
12/29/2017,Uncle Buck’s and Family Choice,Dark Chocolate Peanuts,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,Rucker’s Wholesale and Service Co
12/29/2017,"Woodstock, Market Basket, Lunds & Byerlys",Dark Chocolate Almonds and Cashews,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk,United Natural Trading LLC
12/29/2017,Figi’s,Bulk dark chocolate gingersnaps and Christmas gingersnap variety,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Allergen (Milk),Figi’s Companies
12/29/2017,"All Natural, Weis, generic",Dark chocolate products,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,"Lipari Foods, LLC"
12/29/2017,N/A,"Dark Chocolate Almonds, Dark Chocolate Cashews, and Dark Chocolate Pecans","Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk,"Farrell Farms, Inc."
12/29/2017,Dutch Valley Food Distributors Inc.,Dark Chocolate Almonds and Cashews,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Milk,Dutch Valley Food Distributors Inc.
12/22/2017,HT Traders,Mini Biscotti – Triple Chocolate,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared Almonds and Hazelnuts,Harris Teeter
11/02/2017,Toothsome Chocolate Emporium,Dark Chocolate Coffee Beans,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared milk,"Rucker’s Makin’ Batch Candies, Inc."
10/16/2017,Aunt Beth's,Cookies,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Food & Beverage Safety",Undeclared peanut and other tree nuts,Aunt Beth’s Cookies
03/10/2020,Funky Chunky,Nutty Choco Pop,"Food & Beverages, Allergens, Chocolate/Cocoa Product, Tree Nuts",Undeclared Almond and Cashew Tree-Nut,"Funky Chunky, LLC"
03/23/2020,TeaSource,Loose Leaf Tea,"Food & Beverages, Allergens, Coffee/Tea , Food & Beverage Safety",Undeclared almonds,TeaSource
02/08/2018,WAKE-UP,Instant Coffee,"Food & Beverages, Allergens, Coffee/Tea , Food & Beverage Safety",Undeclared Milk,Hong Lee Trading Inc.
02/06/2018,New of Kopi Jantan Tradisional,Natural Herbs Coffee Dietary Supplement,"Food & Beverages, Allergens, Coffee/Tea , Food & Beverage Safety","Unapproved new drug, Undeclared Milk Allergen",Bestherbs Coffee LLC
12/29/2017,Dilettante Chocolates,Espresso Beans,"Food & Beverages, Allergens, Coffee/Tea , Food & Beverage Safety",Undeclared almonds,Seattle Gourmet Foods
02/09/2018,NuGo Slim,Crunchy Peanut Butter nutrition bars,"Food & Beverages, Allergens, Dairy, Food & Beverage Safety, Meal Replacements",Milk Allergen,Lifestyle Evolution
08/02/2018,Almond Breeze,Vanilla almondmilk,"Food & Beverages, Allergens, Dairy, Food & Beverage Safety, Milk/Milk Product",Undeclared milk,HP Hood LLC
11/09/2018,Recchiuti,Bittersweet and Feve chocolate bars,"Food & Beverages, Allergens, Dairy, Milk/Milk Product",Undeclared milk,Recchiuti Confections
06/29/2018,Wish Bone,House Italian Salad Dressing,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared milk and egg,Pinnacle Foods Inc.
02/09/2018,Dierbergs Kitchen,Deli Products,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared Fish and Milk,Dierbergs Markets
02/08/2018,Silver Star,Chipotle Queso Dip,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety","Undeclared cheese, milk, eggs",Texas Legend Foods
02/07/2018,Cousins,Tomato Salad Dressing,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared Milk,Cousins Products LLC
10/12/2017,La Terra Fina,Spinach Artichoke & Parmesan Dip & Spread,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared Egg,La Terra Fina
08/17/2017,OPA,Ranch Greek Yogurt Dressing,"Food & Beverages, Allergens, Dressing/Condiment, Food & Beverage Safety",Undeclared Egg,Litehouse Inc.
04/08/2020,Weis,Cole Slaw,"Food & Beverages, Allergens, Egg/Egg Product",Undeclared Egg,Weis Markets
05/21/2019,7-Eleven,"‘The Italian Job’ sandwiches, Italian Style Sub","Food & Beverages, Allergens, Egg/Egg Product",Undeclared egg,Hearthside Food Solutions
01/22/2019,Ottogi,Various noodle products,"Food & Beverages, Allergens, Egg/Egg Product",Undeclared Egg,"Ottogi America, Inc."
10/14/2017,Taste of Inspirations,Classic Red Skin Potato Salad,"Food & Beverages, Allergens, Egg/Egg Product, Food & Beverage Safety",Undeclared egg,"A.S.K. Foods, Inc."
04/04/2019,Thomas Hammer,Blueberry Bread,"Food & Beverages, Allergens, Egg/Egg Product, Human Food Safety",Undeclared egg,Thomas Hammer Coffee Roasters Inc.
03/16/2020,Jay Robb,Egg White Protein,"Food & Beverages, Allergens, Egg/Egg Product, Meal Replacements",Undeclared Milk,Jay Robb Enterprises
10/23/2020,Trader Joe’s,Gluten Free Battered Halibut,"Food & Beverages, Allergens, Fish",Undeclared wheat and milk,"Orca Bay Foods, LLC"
02/09/2018,Lam Sheng Kee,"Frozen Fish Tofu, Frozen Fried Fish Ball and Frozen White Fish Ball","Food & Beverages, Allergens, Fish, Food & Beverage Safety",Undeclared Egg,Global Lamsheng Kee Inc.
02/08/2018,Ri Wang Food,Seafood Products,"Food & Beverages, Allergens, Fish, Food & Beverage Safety",Undeclared Milk,America New York Ri Wang Food Group Co. ltd
04/15/2020,Clover Valley®,Iced Oatmeal Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk and Tree Nuts,Dollar General Corporation
04/13/2020,Kodiak Cakes,Blueberry Chia Energy Waffles,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Kodiak Cakes
04/10/2020,Wegmans,Thai Sweet Chili Sauce Cup,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,"Wegmans Food Markets, Inc."
04/10/2020,IDLife,"Protein bars, Snack bars, Kids bars","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Allergens (peanuts, almonds, almonds coconut oil)","IDLife, LLC"
04/10/2020,Ciolo Foods,Nut Free Basil Pesto,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nuts (Pine Nuts and Walnuts),Ciolo Foods
04/09/2020,Midwest Northern Nut,Nut and Seed Snack Mixes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanuts and various tree nuts,Midwest Northern Nut
04/09/2020,Southgate,Hot Dog Chili Sauce,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat and Eggs,Vietti Foods
04/09/2020,Schwartz Brothers Bakery,Cream Cheese Cinnamon Rolls,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Schwartz  Brothers Bakery of Seattle
04/09/2020,Izzy's Ice Cream,Maple Nut Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,"Izzy's Ice Cream, LLC"
04/07/2020,Kitchen's Cravings,Egg Salad Sandwich,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Fish or Shellfish,"Kwik Trip, Inc."
04/07/2020,"Mrs. Gerry's, Open Acres, Festival, Knowlan's and Market Fresh",Egg Salads and Potato Salads,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Seafood-fish and shellfish,Mrs. Gerry's Kitchen Inc.
04/07/2020,EXO,"Blueberry vanilla, peanut butter & jelly, and apple cinnamon cricket protein bars","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Aspire Food Group
04/07/2020,La Marinera,Dried Yellow Potatoes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,"Guixens Food Group, Inc."
04/07/2020,Whole Foods Market,Decorated (iced) cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Whole Foods Market
04/07/2020,eBars,Energy Bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut and/or almond,eBars LLC
04/07/2020,Advocare,Muscle Strength and Nighttime Recovery dietary supplements,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Advocare International
04/07/2020,"Food Service, H. Brooks, H. Brooks-Taste Buds, and Supervalu - Cub Quick & Easy",Bruschetta Dip and Bruschetta Mix,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Soy and Milk,Cut Fruit Express Inc.
04/07/2020,Four J,Charred Tomato & Basil Sauce,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Soy, Wheat and Fish",Cookwell & Company
04/07/2020,Stewart's,Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Stewart's Shops Corp
04/07/2020,Wegmans,Yogurt Raisins,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,"First Source, LLC"
04/06/2020,Labrada,"""LeanPro8"" Protein Powder","Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Eggs,Labrada Nutrition
04/06/2020,"Publix, Sunups, more",Shell eggs,"Food & Beverages, Allergens, Food & Beverage Safety",Eggs,"Cal-Maine Foods, Inc."
04/06/2020,Eataly,Artichoke Spread,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Walnuts,Eataly USA
03/31/2020,Stonewall Kitchen,Basil Pesto,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen - Milk and Eggs,Stonewall Kitchen
03/31/2020,Bombay Kitchen,Bhavnagri Mix,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Ethnic Foods Inc.
03/31/2020,"Golden Flake, Good Health, UTZ, Weis",Tortilla Chips,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Quality Foods, LLC"
03/30/2020,Melanie,Liubitelskie Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Melanie Wholesale Inc.
03/30/2020,The Peruchef,"Dry potato” and “Papa Seca Serrana""","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Mas Food Services Co.
03/25/2020,Honey Mama’s,Oregon Peppermint Cacao Nectar Bar,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared almonds,Nectar Foods Inc DBA Honey Mama’s
